date,type,euro,comment
1.3.2020,groceries,40.85,
03.03.2020,entertainment,11.0,
03.03.2020,lunches,9.8,
04.03.2020,lunches,7.9,
04.03.2020,rent,990.0,
05.03.2020,groceries,54.55,
07.03.2020,goods and services,9.52,
07.03.2020,groceries,76.26,
09.03.2020,lunches,7.9,
09.03.2020,groceries,31.75,
11.03.2020,goods and services,10.0,
11.03.2020,groceries,22.55,
11.03.2020,groceries,90.05,
14.03.2020,groceries,70.42,
14.03.2020,goods and services,5.0,
14.03.2020,commuting,15.0,
14.03.2020,goods and services,6.75,
14.03.2020,health care,15.0,
20.03.2020,health care,9.9,
20.03.2020,goods and services,9.4,
20.03.2020,groceries,95.81,
22.03.2020,goods and services,30.69,
27.03.2020,groceries,78.85,
27.03.2020,telecom,41.0,
27.03.2020,telecom,7.0,